site,state,n_cases,median_min,mean_min,p25_min,p75_min
Site A,Treating,63,74.43615715,77.41566853915344,54.5434549,93.31508956666667
Site A,Room ready,63,43.909416666666665,47.40511134497355,27.798871033333334,53.79624284166667
Site A,Detailed,63,32.43120273333333,36.00003655873016,23.82577279166667,41.042779683333336
Site A,Post-treatment scans & Device removal,62,19.798852099999998,18.60845077688172,11.2235613125,27.516857241666663
Site A,Patient positioning & induction,56,26.0,27.304607669642856,21.75,30.004590383333333
Site A,Device insertion,55,19.59841936666667,21.48290983333333,14.313826391666666,26.173129558333333
Site A,Coarse,63,14.590654866666666,16.541202615343916,11.531907758333334,19.753595158333333
Site A,TULSA QA,63,20.51675606666667,30.658827556613755,10.423012708333331,36.18743141666667
Site A,Paused,63,8.8919877,10.460827780423282,6.763422758333334,12.222469799999999
Site A,Alignment,63,3.5010684166666666,5.540820474603175,2.6039444,5.621197583333332
Site A,Planning start angle,63,3.343264216666667,5.480797869312169,1.9339391666666668,6.324477916666667
Site A,Initialization,63,4.2405219333333335,5.841880362433862,3.326276991666667,7.122240333333332
Site A,Patient recovery & transfer,42,0.0,7.250144326587301,0.0,1.4232418958333333
Site B,Treating,140,73.71289295,79.46413485000001,51.627554675,93.32329857916666
Site B,Room ready,140,61.87606955833334,68.0739785204762,36.97180905416667,87.32617274583333
Site B,Detailed,140,56.0076205,59.21480956333333,40.41461161666667,71.38383907083333
Site B,Post-treatment scans & Device removal,137,46.22454355,47.760560806204374,38.31990435,55.83882445
Site B,Patient positioning & induction,129,42.0,44.996497095478034,33.0,52.0
Site B,Device insertion,128,32.16726024166667,34.15236845950521,20.741682595833332,45.67906062916666
Site B,Coarse,140,35.325770608333336,39.97733524630952,21.925517033333332,49.2776355875
Site B,TULSA QA,140,26.284040391666665,42.95952198761904,16.976900558333334,59.858670204166664
Site B,Paused,140,20.156715283333334,22.47806025297619,13.870976416666666,27.518865516666665
Site B,Alignment,140,5.879790316666667,8.163137266190475,3.8452116750000003,10.7640866375
Site B,Planning start angle,140,6.154979941666667,10.230875368333333,3.793518483333333,13.025702908333333
Site B,Initialization,140,5.142393816666667,5.55774341702381,3.5661375083333335,6.430242016666667
Site B,Patient recovery & transfer,121,2.3277010500000004,21.992199877410467,0.31904805,15.1547053
