site,state,n_cases,median_min,mean_min,p25_min,p75_min
Site A,Treating,27,49.988328833333334,50.52775282345679,29.16913336666667,68.6409577
Site A,Room ready,27,23.9903518,29.592382744444446,14.063866700000002,39.79979270833333
Site A,Detailed,27,18.6036997,22.287284872839503,17.16451238333333,26.071429016666666
Site A,Post-treatment scans & Device removal,27,23.404422416666666,22.74772396234568,18.532697425000002,28.57409128333333
Site A,Patient positioning & induction,26,23.5,24.3545657275641,20.004166666666666,30.012625
Site A,Device insertion,26,27.896662516666666,29.187878421153847,18.943363520833334,34.7052823
Site A,Coarse,27,11.234595483333333,13.54677571728395,8.64451905,16.851761725000003
Site A,TULSA QA,27,42.26921823333334,58.95727851666666,20.30314083333333,54.173020050000005
Site A,Paused,27,7.4253566666666675,8.003141665432098,5.670516458333333,10.149622283333333
Site A,Alignment,27,4.3274835,3.9199714654320985,2.7073307499999997,5.363601758333333
Site A,Planning start angle,27,2.217877816666667,3.8574433043209875,1.2205077916666667,4.933570325
Site A,Initialization,27,4.6147848,5.112716035802469,2.6497574166666666,6.985855624999999
Site A,Patient recovery & transfer,23,1.2479224,13.99753504130435,0.0,6.975439733333333
Site B,Treating,140,73.71289295,79.46413485000001,51.627554675,93.32329857916666
Site B,Room ready,140,61.87606955833334,68.0739785204762,36.97180905416667,87.32617274583333
Site B,Detailed,140,56.0076205,59.21480956333333,40.41461161666667,71.38383907083333
Site B,Post-treatment scans & Device removal,137,46.22454355,47.760560806204374,38.31990435,55.83882445
Site B,Patient positioning & induction,129,42.0,44.996497095478034,33.0,52.0
Site B,Device insertion,128,32.16726024166667,34.15236845950521,20.741682595833332,45.67906062916666
Site B,Coarse,140,35.325770608333336,39.97733524630952,21.925517033333332,49.2776355875
Site B,TULSA QA,140,26.284040391666665,42.95952198761904,16.976900558333334,59.858670204166664
Site B,Paused,140,20.156715283333334,22.47806025297619,13.870976416666666,27.518865516666665
Site B,Alignment,140,5.879790316666667,8.163137266190475,3.8452116750000003,10.7640866375
Site B,Planning start angle,140,6.154979941666667,10.230875368333333,3.793518483333333,13.025702908333333
Site B,Initialization,140,5.142393816666667,5.55774341702381,3.5661375083333335,6.430242016666667
Site B,Patient recovery & transfer,121,2.3277010500000004,21.992199877410467,0.31904805,15.1547053
